number,value,datetime_start,datetime_complete,duration,params_PENALTY_STAGNATION,params_REWARD_SURVIVAL,params_ent_coef,params_lr,state
63,111.5,2026-02-06 08:01:06.290896,2026-02-06 08:02:35.598264,0 days 00:01:29.307368,-1.6293790177959795,3.765176844792025,0.0011343519478496933,0.00016651888587246118,COMPLETE
64,109.5,2026-02-06 08:02:35.601427,2026-02-06 08:04:05.373146,0 days 00:01:29.771719,-1.5552410377361305,4.317037396632905,0.000427567059776293,0.00012381332358595882,COMPLETE
65,123.46,2026-02-06 08:04:05.376503,2026-02-06 08:05:34.773356,0 days 00:01:29.396853,-1.7887169359080393,4.489717924977222,0.005070285087689194,0.00027995227776395857,COMPLETE
66,130.1,2026-02-06 08:05:34.776518,2026-02-06 08:07:04.189905,0 days 00:01:29.413387,-1.691210105725945,4.126987541372539,0.0002617201894777948,0.0002052455553921574,COMPLETE
67,112.72,2026-02-06 08:07:04.193137,2026-02-06 08:08:33.965598,0 days 00:01:29.772461,-1.7020735825261868,4.1160087371491745,0.00025948026027626335,0.00013672800472860162,COMPLETE
68,107.35999999999999,2026-02-06 08:08:33.968927,2026-02-06 08:10:03.451067,0 days 00:01:29.482140,-1.817583210130146,3.6044297799474263,0.00013200270943131194,0.00010480686933005748,COMPLETE
69,115.74000000000001,2026-02-06 08:10:03.454140,2026-02-06 08:11:33.347680,0 days 00:01:29.893540,-1.9803089448879876,3.845692033728072,0.00019205422009956023,0.00020689815949387607,COMPLETE
70,121.44000000000001,2026-02-06 08:11:33.350879,2026-02-06 08:13:03.439605,0 days 00:01:30.088726,-0.10238089803252254,4.329479170030093,0.0001521684238329573,0.00018420935391872986,COMPLETE
71,104.08,2026-02-06 08:13:03.442880,2026-02-06 08:14:33.909882,0 days 00:01:30.467002,-1.4713401984870473,4.086653910949936,0.000832180479132871,0.00026529325478005957,COMPLETE
72,104.17999999999999,2026-02-06 08:14:33.913248,2026-02-06 08:16:04.266563,0 days 00:01:30.353315,-1.0969417212263841,2.9062925618230535,0.0004281071951752639,0.0001517311504434345,COMPLETE
