number,value,datetime_start,datetime_complete,duration,params_PENALTY_STAGNATION,params_REWARD_DISTANCE_COEFF,params_REWARD_SURVIVAL,params_ent_coef,params_lr,state
61,160.55,2026-02-03 13:50:23.418175,2026-02-03 13:52:40.407350,0 days 00:02:16.989175,-0.6611299625520658,0.13628597780265267,0.48675245575636505,0.0006721581085845724,0.00011020610582213148,COMPLETE
62,143.8,2026-02-03 13:52:40.410582,2026-02-03 13:54:57.763357,0 days 00:02:17.352775,-0.6664988975371202,0.14466459069711224,0.4845509472554067,0.0006617971382341617,0.00011230110216760648,COMPLETE
63,158.25,2026-02-03 13:54:57.766615,2026-02-03 13:57:16.274730,0 days 00:02:18.508115,-0.7129145548798239,0.13618737573620082,0.475841486360962,0.0005851488358287743,0.00010898436122950074,COMPLETE
64,178.6,2026-02-03 13:57:16.278778,2026-02-03 13:59:34.487256,0 days 00:02:18.208478,-0.5510446667592698,0.13058557269515034,0.4669003835170972,0.0008827674179828953,0.0001232136439096098,COMPLETE
65,168.95,2026-02-03 13:59:34.490393,2026-02-03 14:02:03.630088,0 days 00:02:29.139695,-0.5663352182859909,0.13126076049314658,0.46709413400140637,0.0009548128352950211,0.00015345733301179486,COMPLETE
66,153.60000000000002,2026-02-03 14:02:03.633210,2026-02-03 14:04:34.748511,0 days 00:02:31.115301,-0.5498155215869015,0.13270329769172165,0.45998242335228146,0.0008991070734317428,0.00015339891181787488,COMPLETE
67,170.45,2026-02-03 14:04:34.751875,2026-02-03 14:07:03.746735,0 days 00:02:28.994860,-0.5831207153395522,0.13051395674098648,0.47032830350057364,0.0009328118993022556,0.00014706199171368224,COMPLETE
68,163.3,2026-02-03 14:07:03.749846,2026-02-03 14:09:30.275254,0 days 00:02:26.525408,-0.9814412765042522,0.13103427478551782,0.47090741683726195,0.000990347921139334,0.00014626434434033018,COMPLETE
69,191.55,2026-02-03 14:09:30.285117,2026-02-03 14:12:05.161731,0 days 00:02:34.876614,-0.3859548054428229,0.13965442017635735,0.4471262191933596,0.0007652117633844288,0.00016939751207206049,COMPLETE
70,118.25,2026-02-03 14:12:05.164947,2026-02-03 14:14:39.635171,0 days 00:02:34.470224,-0.3961569448691061,0.14065615597802214,0.44545902062759823,0.0008044367319654136,0.00017058197996692063,COMPLETE
71,129.85,2026-02-03 14:14:39.640193,2026-02-03 14:17:14.839837,0 days 00:02:35.199644,-0.363707259499516,0.12902761812577895,0.4319418929266587,0.000899484689120393,0.00017319477540649584,COMPLETE
72,125.55000000000001,2026-02-03 14:17:14.843017,2026-02-03 14:19:49.386256,0 days 00:02:34.543239,-0.4927062702570012,0.14856347460098188,0.45416944991858615,0.0007612749592621078,0.0001408049071271211,COMPLETE
73,120.1,2026-02-03 14:19:49.389185,2026-02-03 14:22:21.139865,0 days 00:02:31.750680,-0.5830823391855549,0.1423967798088482,0.4993220381773936,0.000863993781045551,0.00014659218517752592,COMPLETE
74,139.3,2026-02-03 14:22:21.143263,2026-02-03 14:24:56.522249,0 days 00:02:35.378986,-0.430376315538299,0.12560244916154123,0.46631306866764044,0.0007244923683710404,0.00013425311376851496,COMPLETE
75,144.05,2026-02-03 14:24:56.525622,2026-02-03 14:27:29.417300,0 days 00:02:32.891678,-0.17341559247929889,0.15215264863275751,0.4908168873398322,0.0008085782020290839,0.00016972339770739782,COMPLETE
76,181.10000000000002,2026-02-03 14:27:29.420355,2026-02-03 14:30:03.796771,0 days 00:02:34.376416,-0.5590007608560938,0.1387230634701005,0.47307260695876185,0.0008518880295290518,0.00016469486765868186,COMPLETE
77,165.1,2026-02-03 14:30:03.800683,2026-02-03 14:32:41.600538,0 days 00:02:37.799855,-0.46995560315181395,0.13723156101733808,0.46048919030241986,0.0009149209697764373,0.00016144537377870444,COMPLETE
78,95.0,2026-02-03 14:32:41.604113,2026-02-03 14:35:21.947990,0 days 00:02:40.343877,-0.2568408009308937,0.13976797338385988,0.4732509468390764,0.0008450695790125382,0.0001498352160089031,COMPLETE
79,143.39999999999998,2026-02-03 14:35:21.951493,2026-02-03 14:37:57.370822,0 days 00:02:35.419329,-0.5539306417210037,0.129818534452954,0.43811264256906074,0.0009946642403937927,0.0001641421461487324,COMPLETE
80,147.14999999999998,2026-02-03 14:37:57.374196,2026-02-03 14:40:43.972221,0 days 00:02:46.598025,-0.5123122515914433,0.1346275537139695,0.44387278632707067,0.0009339151062351445,0.0001770707032832949,COMPLETE
81,96.45,2026-02-03 14:40:43.975790,2026-02-03 14:43:30.075510,0 days 00:02:46.099720,-0.5975204084684671,0.1261206075397731,0.4249973108556133,0.0002252135081875592,0.00016615740089622415,COMPLETE
82,132.8,2026-02-03 14:43:30.079284,2026-02-03 14:46:09.694033,0 days 00:02:39.614749,-0.6258314420663535,0.13075481222532082,0.48162735719733224,0.0007842637276214895,0.00018309885468388207,COMPLETE
83,128.0,2026-02-03 14:46:09.697587,2026-02-03 14:48:46.320368,0 days 00:02:36.622781,-0.4681757831289529,0.14744453565457075,0.4749227336648698,0.0007371931741639285,0.00015451720880146395,COMPLETE
84,117.85,2026-02-03 14:48:46.323668,2026-02-03 14:51:25.646543,0 days 00:02:39.322875,-0.5396118982481597,0.14451429000555394,0.4604322349587646,0.00032560787286475904,0.00012604035237203832,COMPLETE
